id,preferred_label,reuse_level,code,skill_category,coreness
3299,assess breaches of licence agreements,occupation-specific,S1.1.1,S,0.0
3300,analyse insurance needs,cross-sector,S1.5.2,S,0.05298806655497435
3301,set up photographic equipment,sector-specific,S8.6.2,S,0.01364746251847176
3302,operate water purifying equipment,cross-sector,S8.4.5,S,0.008743752552521957
3303,attend design meetings,sector-specific,S1.2.1,S,0.018892721395269155
3304,evaluate outdoor activities,sector-specific,S2.2.5,S,0.005607999590379101
3305,organise transportation for clients,occupation-specific,S1.6.3,S,0.0
3306,trade union regulations,cross-sector,K10.2.2,K,0.0234346209589551
3307,teach principles of architectural design,occupation-specific,S1.3.1,S,0.0
3308,procure hospitality products,sector-specific,S1.6.3,S,0.0075173355471691424
3309,organise business documents,cross-sector,S4.4.3,S,0.05100877581139638
3310,store wine properly,sector-specific,S6.2.3,S,0.0016162937349235807
3311,ensure the longevity of the fight actions,occupation-specific,S1.14.2,S,0.0
3312,community-based rehabilitation,sector-specific,K9.1.5,K,0.00010317493510851361
3313,stack packaged items,sector-specific,S6.2.2,S,0.00998012633762669
3314,ICT accessibility standards,sector-specific,K6.0.1,K,0.01505013159791404
3315,advise on soil and water protection,sector-specific,S1.5.5,S,0.058095273261474865
3316,manage revenue,cross-sector,S4.3.1,S,0.016724698798824263
3317,study musical scores,sector-specific,S2.1.1,S,0.0016160814620753965
3318,split bricks,sector-specific,S6.7.5,S,0.0005872103588701512
3319,electrical engineering,cross-sector,K7.1.3,K,0.3729056714204712
3320,practise veterinary professional codes of conduct,sector-specific,S3.3.3,S,0.004210518558112807
3321,engage composers,sector-specific,S4.7.0,S,0.0026545187385886133
3322,liaise with union officials,cross-sector,S1.2.1,S,0.008465458515757427
3323,determine event objectives,occupation-specific,S4.1.0,S,0.0
3324,maintain industrial equipment,cross-sector,S8.7.2,S,0.023869702603053714
3325,zoo community,sector-specific,K4.1.7,K,0.00309200224505558
3326,tend deburring machine,cross-sector,S8.5.8,S,0.0012171164227714794
3327,well testing operations,sector-specific,K7.1.1,K,0.007043250013983675
3328,manage vessel engines and systems,sector-specific,S8.7.0,S,0.0007970961826740164
3329,perform internal investigations,cross-sector,S1.2.1,S,0.008859661048619691
3330,lead managers of company departments,cross-sector,S4.5.0,S,0.013018259389322278
3331,collaborate in the drafting of policies,sector-specific,S1.5.0,S,0.01585888446928743
3332,determine marketability of second-hand goods,occupation-specific,S2.6.2,S,0.0
3333,medical device test procedures,cross-sector,K9.1.4,K,0.02456113216623719
3334,3D texturing,sector-specific,K2.1.1,K,0.008614069529757452
3335,printed circuit boards testing methods,cross-sector,K6.0.2,K,0.01638785889201693
3336,develop educational materials on art therapy,occupation-specific,S1.12.2,S,0.0
3337,control kiln firing,cross-sector,S8.4.7,S,0.0030056250171893693
3338,analyse large-scale data in healthcare,sector-specific,S2.4.1,S,0.00584437617414486
3339,prepare financial auditing reports,cross-sector,S2.2.1,S,0.0590751006390047
3340,casino policies,sector-specific,K4.2,K,0.004047280408740297
3341,bridge engineering,sector-specific,K7.3.2,K,0.0
3342,transfer oil,sector-specific,S6.2.3,S,0.00298529469995748
3343,analyse booking patterns,occupation-specific,S2.7.4,S,0.0
3344,train operating procedures,sector-specific,K10.4.0,K,0.014667925441583619
3345,data warehouse,occupation-specific,K6.0.2,K,0.0
3346,estimate harvest costs,sector-specific,S2.6.3,S,0.005429692005118095
3347,make photographic storyboards,sector-specific,S1.12.1,S,0.0017091525463356926
3348,organise stage,occupation-specific,S4.2.1,S,0.0
3349,cue a performance,sector-specific,S4.2.1,S,0.011083361401694478
3350,implement relevant tactical skills to perform at the highest level in sport,occupation-specific,S1.14.1,S,0.0
3351,use signalling equipment,cross-sector,S1.8.2,S,0.00012413842485976462
3352,electromagnetism,sector-specific,K5.3.3,K,0.033963230549968235
3353,monitor manufacturing quality standards,cross-sector,A1.12.1,A,0.22254323035349383
3354,manage payroll reports,cross-sector,S2.2.1,S,0.04696667658460682
3355,adjust clothes,cross-sector,S6.5.6,S,0.0
3356,ensure vessel security,sector-specific,S2.8.4,S,0.03066336986480726
3357,assess risks of clients' assets,cross-sector,S2.7.5,S,0.02076153898082635
3358,design pipelines with different coating solutions,occupation-specific,S1.11.4,S,0.0
3359,origin of dietary fats and oils,sector-specific,K7.2.1,K,0.007977930175909696
3360,ensure longevity of choreography,occupation-specific,S1.14.2,S,0.0
3361,medical mycology,sector-specific,K5.1.1,K,0.0
3362,manage cash flow,sector-specific,S4.4.2,S,0.002416375067534009
3363,record license plates of violators,sector-specific,S4.4.3,S,0.0001241384248597646
3364,empathise with the woman's family during and after pregnancy,cross-sector,S3.1.1,S,0.0009311845909711267
3365,coordinate redecoration of hospitality establishment,sector-specific,S4.2.1,S,0.0013823123058191748
3366,safely instruct about fitness,sector-specific,S1.3.5,S,0.016180003553564807
3367,clinical biochemistry,cross-sector,K5.1.2,K,0.01848114789819796
3368,develop visitor engagement strategies,occupation-specific,S4.1.2,S,0.0
3369,train security officers,sector-specific,S1.3.3,S,0.0018651450134760065
3370,mechanical clocks,cross-sector,K7.1.5,K,0.003367015352128117
3371,avoid tear-out in woodworking,occupation-specific,S6.5.0,S,0.0
3372,contain fires,sector-specific,S3.3.5,S,0.0009713419478739163
3373,offer cosmetic beauty advice,sector-specific,S1.5.3,S,0.034301120330755316
3374,XQuery,sector-specific,K6.0.3,K,0.04776467382452282
3375,food safety principles,sector-specific,K10.2.2,K,0.04266318621602842
3376,use authentic crafting techniques,cross-sector,S6.7.0,S,0.003638969908198683
3377,report misfires,sector-specific,S2.2.7,S,0.001229668526753546
3378,monitor excavated material,occupation-specific,S2.8.2,S,0.0
3379,use personality tests,occupation-specific,S2.4.1,S,0.0
3380,advise customers on clocks,occupation-specific,S1.5.3,S,0.0
3381,test electrical equipment,cross-sector,S2.8.1,S,0.03558044100431008
3382,advise on funeral services,sector-specific,S1.5.3,S,0.004656719254804891
3383,perform environmental investigations,sector-specific,S2.1.1,S,0.01448617722244448
3384,cast concrete sections,sector-specific,S7.1.4,S,0.002488533553841578
3385,perform system analysis,occupation-specific,S2.7.6,S,0.0
3386,teach ESOL language class,occupation-specific,S1.3.1,S,0.0
3387,describe your artistic aspirations in relation to artistic trends,sector-specific,S1.7.2,S,0.000740307257033065
3388,community medicine,occupation-specific,K9.1.2,K,0.0
3389,bakery ingredients,sector-specific,K7.2.1,K,0.009865212166176284
3390,injection moulding machine parts,sector-specific,K7.2.2,K,0.009304220280024292
3391,maintain service record book,sector-specific,S2.2.5,S,0.0033999617107345224
3392,study prices of wood products,cross-sector,S2.6.2,S,0.06561581433771302
3393,maintain incident reporting records,cross-sector,S2.2.7,S,0.058475503159464357
3394,components of oil seeds,sector-specific,K7.2.1,K,0.0011040225447709873
3395,design ICT hardware placement,occupation-specific,S4.1.3,S,0.0
3396,attach clockwork,sector-specific,S6.5.1,S,0.0
3397,collect mail,cross-sector,S4.4.3,S,0.0023963047033243316
3398,solve bank account problems,sector-specific,S1.5.2,S,0.0
3399,test leather chemistry,sector-specific,K7.2.3,K,0.002419453081687364
3400,examine animals,occupation-specific,S6.9.7,S,0.0
3401,provide information on study programmes,cross-sector,S3.4.1,S,0.03955394190734133
3402,weigh raw materials at reception,sector-specific,S2.5.2,S,0.00547605573103085
3403,plan youth programmes,occupation-specific,S4.1.6,S,0.0
3404,perform repertoire for therapeutic purposes,occupation-specific,S3.2.1,S,0.0
3405,client-centred counselling,sector-specific,K9.2.3,K,0.016903108803961304
3406,reiki,sector-specific,K9.1.7,K,0.004778524021358835
3407,manage packaging material,cross-sector,S6.1.3,S,0.012297819323789302
3408,footwear industry,cross-sector,K7.2.3,K,0.05078385211983941
3409,ICT security standards,sector-specific,K6.0.2,K,0.022324256230222047
3410,advise on livestock disease control,sector-specific,S1.5.4,S,0.0005593111714753006
3411,children's physical development,cross-sector,K9.2.2,K,0.04889371060709997
3412,share through digital technologies,transversal,S5.6.1,S,0.0
3413,monitor staff absences,cross-sector,S2.8.2,S,0.007766664334298071
3414,inland waterway police regulations,sector-specific,K4.2.0,K,0.012539981810789132
3415,manage artworks' transportation,occupation-specific,S4.2.1,S,0.0
3416,clothing sizes,sector-specific,K7.2.3,K,0.0152213080293248
3417,provide feedback on job performance,cross-sector,S1.8.3,S,0.03523129235283213
3418,install windshields,sector-specific,S6.5.0,S,0.004467858670237974
3419,liaise with financiers,cross-sector,S1.2.1,S,0.08908209706756778
3420,Perl,sector-specific,K6.0.3,K,0.16058686381674012
3421,understand game species,sector-specific,K5.1.1,K,0.0017918691294144331
3422,maintain chiropractic equipment,sector-specific,S8.8.2,S,0.0013612006918361514
3423,apply development process to footwear design,sector-specific,S2.9.0,S,0.0017629580887852895
3424,provide a psychotherapeutic environment,sector-specific,S3.4.4,S,0.0013978323520920366
3425,communicate during show,sector-specific,S1.14.2,S,0.01107507371001171
3426,crush seeds,sector-specific,S8.5.4,S,0.0003680950099602144
3427,issue licences,cross-sector,S3.4.3,S,0.05743806690365958
3428,create scenery display,occupation-specific,S1.12.1,S,0.0
3429,provide online help,occupation-specific,S3.4.1,S,0.0
3430,mine safety legislation,sector-specific,K7.2.4,K,0.022127071766982517
3431,blood transfusion,cross-sector,K9.1.3,K,0.01073240740155293
3432,restore natural environment after drilling proofs,occupation-specific,S1.9.1,S,0.0
3433,test ground system performance,sector-specific,S2.8.1,S,0.0024219896781459654
3434,operate heavy construction machinery without supervision,cross-sector,S8.1.1,S,0.020402958789222162
3435,write Hebrew,transversal,,L_use,0.0
3436,analyse business objectives,cross-sector,S2.7.4,S,0.07673985924437639
3437,psychomotor therapy,sector-specific,K9.1.5,K,0.005529359970865985
3438,create advocacy material,occupation-specific,S1.2.4,S,0.0
3439,vehicle trends,occupation-specific,S2.9.0,S,0.0
3440,perform self-assessment,cross-sector,S4.8.3,S,0.00035367581090627867
3441,develop methodologies for supplier evaluation,occupation-specific,S4.1.3,S,0.0
3442,adapt artistic plan to location,sector-specific,S1.12.3,S,0.02362340186818941
3443,condition broodstock,sector-specific,S6.9.2,S,0.002964949516396798
3444,apply machine cutting techniques for footwear and leather goods,sector-specific,S8.5.8,S,0.006130151474165674
3445,islamic studies,occupation-specific,K2.2.1,K,0.0
3446,distribute control signals,sector-specific,S8.6.2,S,0.001272630665284862
3447,prepare lifeboats,sector-specific,S8.3.0,S,0.008395357617324198
3448,vessel fuels,sector-specific,K5.3.1,K,0.01516543560938652
3449,rack wines,sector-specific,S8.5.4,S,0.0005889820441780454
3450,direct movement experiences,cross-sector,S1.3.5,S,0.023145326981724435
3451,adapt lifestyle to perform at the highest level in sport,occupation-specific,S1.14.1,S,0.0
3452,oversee logistics of finished products,cross-sector,S4.2.1,S,0.09523846582313407
3453,waste management,cross-sector,K10.2.1,K,0.10055314253041528
3454,work in a forestry team,sector-specific,S1.8.1,S,0.006641343461412708
3455,dispose of hazardous waste,cross-sector,S6.13.1,S,0.16553541531689372
3456,develop chiropractic treatment plans,occupation-specific,S3.2.3,S,0.0
3457,player logic,occupation-specific,K3.1.4,K,0.0
3458,micromechatronic engineering,sector-specific,K7.1.5,K,0.018588791590390848
3459,develop preventive maintenance procedures for instruments,cross-sector,S4.1.3,S,0.004678218409002537
3460,plan musical performances,sector-specific,S4.2.2,S,0.01304263999565537
3461,advise on property value,cross-sector,S1.5.2,S,0.02519028178548545
3462,assess environmental impact in aquaculture operations,sector-specific,S2.8.5,S,0.014609569409951362
3463,supervise the work of staff on different shifts,cross-sector,S4.2.1,S,0.03349740612919532
3464,animal food products,sector-specific,K7.2.1,K,0.005224858963765622
3465,electric bicycles,sector-specific,K7.1.4,K,0.0055684827522789965
3466,write Berber,transversal,,L_use,0.0
3467,provide door security,cross-sector,S3.3.5,S,0.002898349323702033
3468,use consulting techniques,cross-sector,S1.5.0,S,0.11393982631517667
3469,inform on safety standards,cross-sector,S1.5.9,S,0.01531069164505904
3470,apply extruding techniques,sector-specific,S8.5.4,S,0.006336480022422666
3471,detect flaws in pipeline infrastructure,sector-specific,S7.2.2,S,0.04773138479499339
3472,follow newspaper house style,sector-specific,S3.3.3,S,0.0
3473,provide fertilizer recommendation for flowers,sector-specific,S1.5.5,S,0.01876300525896787
3474,treat swallowing disorders,occupation-specific,S3.2.1,S,0.0
3475,use different communication channels,cross-sector,S1.2.1,S,1.0
3476,set up aquaculture cage mooring system,occupation-specific,S7.2.0,S,0.0
3477,assemble electrical components,cross-sector,S6.5.3,S,0.08818820886498545
3478,law enforcement,cross-sector,K10.3.2,K,0.10524921737377492
3479,write Vietnamese,transversal,,L_use,0.0
3480,inspect fish eggs,sector-specific,S6.9.2,S,0.0038116490694926185
3481,develop new bakery products,occupation-specific,S1.11.3,S,0.0
3482,provide an enriching environment for animals,sector-specific,S6.9.1,S,0.011902720076472102
3483,use pipeline video equipment,sector-specific,S8.6.0,S,0.002986024728623487
3484,determine release date,occupation-specific,S4.2.2,S,0.0
3485,weigh materials,sector-specific,S2.5.2,S,0.045761162425498755
3486,provide ICT system training,sector-specific,S1.3.3,S,0.006798148865753752
3487,develop visual elements,sector-specific,S1.12.1,S,0.004849040815814302
3488,side effects of radiotherapy treatment,occupation-specific,K9.1.4,K,0.0
3489,protect important clients,cross-sector,S3.3.5,S,0.023442108523353856
3490,conduct quality control analysis,cross-sector,S2.8.1,S,0.2190979318620566
3491,ensure animal welfare in slaughtering practices,sector-specific,S6.9.4,S,0.011962559639030755
3492,train reception staff,sector-specific,S1.3.3,S,0.001523814884185594
3493,monitor the transfer of oil,sector-specific,S2.8.2,S,0.0
3494,install roof windows,sector-specific,S7.1.7,S,0.007395063883543164
3495,metal polishing machine parts,cross-sector,S8.5.8,S,0.002033163265746577
3496,perform ground maintenance activities,sector-specific,S6.11.3,S,0.007849217326811778
3497,monitor quality of broadcasts,occupation-specific,S8.6.4,S,0.0
3498,manage business knowledge,cross-sector,S4.1.3,S,0.05339153175726878
3499,printing techniques,cross-sector,K2.1.1,K,0.04817267611903072
3500,perform technical sound check,sector-specific,S8.6.2,S,0.008386669968802002
3501,enable access to services,sector-specific,S3.1.3,S,0.0076947720374025644
3502,communicate with stakeholders to anticipate increases in demand for transport,occupation-specific,S1.2.1,S,0.0
3503,textile materials,sector-specific,K7.2.3,K,0.06885299621356547
3504,decide on loan applications,cross-sector,S4.9.0,S,0.0051732004532023396
3505,industrial software,cross-sector,K6.0.1,K,0.0737186984325459
3506,examine cell specimens microscopically,sector-specific,S8.6.3,S,0.009106876778051363
3507,share good practices across subsidiaries,cross-sector,S1.2.0,S,0.0
3508,develop professional identity in social work,sector-specific,S1.2.3,S,0.001225667576183001
3509,analyse fish samples for diagnosis,sector-specific,S2.8.8,S,0.005973608291723477
3510,perform data mining,sector-specific,S5.5.2,S,0.036854315467031065
3511,understand written Czech,transversal,,L_use,0.0
3512,assess the compatibility of individuals and animals to work together,sector-specific,S4.8.3,S,0.009139575007447864
3513,manage gambling game,occupation-specific,S1.14.3,S,0.0
3514,restore art using scientific methods,sector-specific,S8.6.3,S,0.0002180228763557698
3515,timing devices,occupation-specific,K7.1.4,K,0.0
3516,organise fire station,occupation-specific,S4.2.1,S,0.0
3517,dig soil mechanically,sector-specific,S8.1.1,S,0.012877862852280327
3518,operate furnace,sector-specific,S8.4.7,S,0.013698422050301178
3519,medication classification,occupation-specific,K9.1.6,K,0.0
3520,legal use-of-force,cross-sector,K4.2.0,K,0.062819571160148
3521,write Portuguese,transversal,,L_use,0.0
3522,remove finished casts,sector-specific,S6.6.1,S,0.005613606683134363
3523,assess employees' capability levels,cross-sector,S4.8.3,S,0.06201031415105507
3524,order vehicles,sector-specific,S1.6.3,S,0.0054597094819633955
3525,teach university class,sector-specific,S1.3.1,S,0.004986765254510975
3526,process animal by-products,occupation-specific,S6.3.3,S,0.0
3527,demonstrate curiosity,transversal,A1.6.0,A,0.0
3528,operate pasteurisation processes,sector-specific,S8.5.4,S,0.008312539754857167
3529,petrology,sector-specific,K5.3.1,K,0.002235822969696772
3530,use diagnostic tools for electronic repairs,cross-sector,S8.6.3,S,0.040109839189207734
3531,clean carcasses,sector-specific,S6.9.4,S,0.0001936002005240722
3532,serve food in table service,sector-specific,S3.5.2,S,0.026385284212268375
3533,ensure customs compliance,sector-specific,S3.3.3,S,0.007499428405846912
3534,provide sedation to animals,sector-specific,S6.9.7,S,3.933215936301943e-05
3535,adjust engineering designs,cross-sector,S1.11.5,S,0.28364924136994785
3536,control pumping operations in petroleum production,sector-specific,S8.4.3,S,0.002741694292529677
3537,write Danish,transversal,,L_use,0.0
3538,operate precision measuring equipment,cross-sector,S8.6.6,S,0.2062249776844256
3539,Pentaho Data Integration,sector-specific,K6.0.2,K,0.015276272082887874
3540,prepare credit reports,sector-specific,S2.2.1,S,0.012685898800353595
3541,translate chemical innovations in pragmatic terms,occupation-specific,S1.4.2,S,0.0
3542,count money,cross-sector,S4.4.2,S,0.008125672053316085
3543,emergent technologies,cross-sector,K7.1.7,K,0.047156928019048416
3544,change window displays,sector-specific,S1.6.2,S,0.0015343280463592215
3545,regulations for international transportation,sector-specific,K4.2.0,K,0.012121653182420315
3546,prepare fruit ingredients for use in beverages,sector-specific,S3.5.1,S,0.00018607189043282955
3547,schedule recreation facilities,sector-specific,S4.2.2,S,0.04508926983558086
3548,Smalltalk (computer programming),sector-specific,K6.0.3,K,0.15870154235521042
3549,finish concrete sections,occupation-specific,S7.1.4,S,0.0
3550,provide advocacy interpreting services,sector-specific,S1.15.2,S,0.0012839517172931357
3551,assemble batteries,occupation-specific,S6.5.3,S,0.0
3552,personal directing styles,sector-specific,K0.3.0,K,0.02624354492974495
3553,identify needs and technological responses,transversal,S1.9.1,S,0.0
3554,apply brazing techniques,cross-sector,S7.1.6,S,0.050713414949043245
3555,biomedical scientists' role in health care system,sector-specific,K9.1.3,K,0.0002566003494625624
3556,develop chemical products,cross-sector,S1.11.5,S,0.02267445917244331
3557,operate photoreactors,occupation-specific,S8.6.3,S,0.0
3558,ceramic ware,sector-specific,K2.1.4,K,0.0157458754697534
3559,oversee harvest process,occupation-specific,S4.8.1,S,0.0
3560,demonstrate technical skills during neurological surgery,sector-specific,S3.2.2,S,0.0
3561,ensure trains run to schedule,occupation-specific,S2.8.2,S,0.0
3562,develop standard operating procedures in the food chain,sector-specific,S4.1.3,S,0.016215210485392224
3563,lop trees,sector-specific,S6.4.3,S,0.0002798182791112043
3564,identify progression of disease,sector-specific,S2.8.6,S,0.0018792400316713755
3565,act as a company ambassador,cross-sector,S1.2.3,S,0.013652577969524385
3566,perform improvisation,cross-sector,S1.14.2,S,0.029132183309325314
3567,use manual draughting techniques,cross-sector,S1.12.1,S,0.024648282735358202
3568,follow-up actions resulting from railway facilities inspections,occupation-specific,S2.8.4,S,0.0
3569,manage troop deployment,sector-specific,S4.2.1,S,0.007391002426468868
3570,electricity market,cross-sector,K4.1.4,K,0.1156263898037918
3571,mathematics,cross-sector,K5.4.1,K,0.42750711252817664
3572,embalm bodies,sector-specific,S3.2.1,S,0.0019105332831653014
3573,analgesics,sector-specific,K9.1.6,K,0.000931184590971127
3574,smooth glass edges,cross-sector,S6.7.3,S,0.024471049567272776
3575,measure yarn count,sector-specific,S2.5.1,S,0.029198354346538537
3576,identify research topics,sector-specific,S4.1.4,S,0.006353451854067995
3577,PHP,sector-specific,K6.0.3,K,0.17013688935559768
3578,fruit and vegetables maceration,sector-specific,K7.2.1,K,0.0013057216113493818
3579,manage production enterprise,cross-sector,S4.0.0,S,0.022841553870738468
3580,organise storage facilities,cross-sector,S4.3.3,S,0.02004802551614338
3581,supervise the management of an establishment,sector-specific,S4.0.0,S,0.003911005796503277
3582,apply tobacco manufacturing requirements,occupation-specific,S3.3.3,S,0.0
3583,arrange student accommodation,occupation-specific,S4.4.3,S,0.0
3584,analyse body fluids,sector-specific,S2.8.8,S,0.00025660034946256246
3585,promote youth work in the local community,cross-sector,S1.2.4,S,0.0
3586,confer with event staff,sector-specific,S1.7.2,S,0.0069462053404397706
3587,energy sector policies,sector-specific,K7.1.3,K,0.01042242194072979
3588,software anomalies,sector-specific,K6.0.3,K,0.04940393035564274
3589,types of vehicles,cross-sector,K7.1.6,K,0.06961155514063949
3590,"set health, hygiene, safety and security standards",occupation-specific,S4.1.3,S,0.0
3591,monitor feeding behaviour,sector-specific,S6.9.5,S,0.007523786109730544
3592,strain paper on mould,occupation-specific,S6.8.2,S,0.0
3593,apply isopropyl alcohol safely,cross-sector,S7.3.3,S,0.0063228913524562246
3594,database,cross-sector,K6.0.2,K,0.043708025614946945
3595,keep task records,cross-sector,S2.2.5,S,0.2805132824211213
3596,ensure legal gaming,sector-specific,S3.3.3,S,0.0021629123253030795
3597,types of plastering materials,sector-specific,K7.3.2,K,0.0029214531028679586
3598,identify undetected organisational needs,cross-sector,S4.8.3,S,0.02090179710908828
3599,digital marketing techniques,sector-specific,K4.1.4,K,0.10401218624601503
